metric,threshold,n,k,pivot_changed_rate,pivot_changed_ci_lo,pivot_changed_ci_hi,x_median,gamma,shock_type,lock_in,pivot_is_dominant_rate,HHI_roll_median,HHI_median,max_share_median
max_share,0.525,50292,11167,0.22204326731885787,0.21843209508926217,0.22569690025893377,0.4278830819630344,-0.5,reallocate_total_fixed,0,0.5639067843792254,0.3313146063367705,0.2930353738476369,0.4278830819630344
max_share,0.525,49708,4789,0.09634264102357769,0.09377984209193008,0.09896782710727334,0.6911977821019026,-0.5,reallocate_total_fixed,1,1.0,0.4322170511542622,0.5129092434901278,0.6911977821019026
max_share,0.525,50292,8926,0.17748349638113417,0.17416884782484163,0.18084741260492718,0.4278830819630344,0.5,inflate_only,0,0.5639067843792254,0.3313146063367705,0.2930353738476369,0.4278830819630344
max_share,0.525,49708,376,0.007564174780719401,0.006839624152671658,0.00836483369223747,0.6911977821019026,0.5,inflate_only,1,1.0,0.4322170511542622,0.5129092434901278,0.6911977821019026
max_share,0.525,50292,10869,0.21611787162968266,0.21254232094650194,0.2197367881876417,0.4278830819630344,0.5,reallocate_total_fixed,0,0.5639067843792254,0.3313146063367705,0.2930353738476369,0.4278830819630344
max_share,0.525,49708,766,0.015409994367103887,0.014363977777328618,0.016530906631862127,0.6911977821019026,0.5,reallocate_total_fixed,1,1.0,0.4322170511542622,0.5129092434901278,0.6911977821019026
max_share,0.525,50292,13308,0.2646146504414221,0.26077732026935524,0.26848793811335764,0.4278830819630344,1.0,inflate_only,0,0.5639067843792254,0.3313146063367705,0.2930353738476369,0.4278830819630344
max_share,0.525,49708,1290,0.025951557093425604,0.024590061249411137,0.02738631936409645,0.6911977821019026,1.0,inflate_only,1,1.0,0.4322170511542622,0.5129092434901278,0.6911977821019026
max_share,0.525,50292,15552,0.30923407301360056,0.3052093821261423,0.3132879053315151,0.4278830819630344,1.0,reallocate_total_fixed,0,0.5639067843792254,0.3313146063367705,0.2930353738476369,0.4278830819630344
max_share,0.525,49708,2303,0.04633057053190633,0.044517479607614915,0.04821377821003954,0.6911977821019026,1.0,reallocate_total_fixed,1,1.0,0.4322170511542622,0.5129092434901278,0.6911977821019026
max_share,0.525,50292,18511,0.36807046846416924,0.36386560827366116,0.37229548222889847,0.4278830819630344,2.0,inflate_only,0,0.5639067843792254,0.3313146063367705,0.2930353738476369,0.4278830819630344
max_share,0.525,49708,3337,0.06713205117888468,0.06496535662887833,0.06936564751561507,0.6911977821019026,2.0,inflate_only,1,1.0,0.4322170511542622,0.5129092434901278,0.6911977821019026
max_share,0.525,50292,21248,0.42249264296508393,0.4181815955142628,0.42681553045091847,0.4278830819630344,2.0,reallocate_total_fixed,0,0.5639067843792254,0.3313146063367705,0.2930353738476369,0.4278830819630344
max_share,0.525,49708,5424,0.10911724470910115,0.10640644822847842,0.11188845396641434,0.6911977821019026,2.0,reallocate_total_fixed,1,1.0,0.4322170511542622,0.5129092434901278,0.6911977821019026
max_share,0.54375,54299,10365,0.1908874933240023,0.18760378255503196,0.1942149398007425,0.4349604932714137,-0.5,inflate_only,0,0.5960883257518554,0.3325588160582534,0.2976794026145032,0.4349604932714137
max_share,0.54375,45701,1230,0.02691407190214656,0.025469623047047252,0.028438048738867003,0.711413974357492,-0.5,inflate_only,1,1.0,0.5116530747501966,0.5373838716017114,0.711413974357492
max_share,0.54375,54299,11572,0.2131162636512643,0.20969214044874834,0.21658097745747923,0.4349604932714137,-0.5,reallocate_total_fixed,0,0.5960883257518554,0.3325588160582534,0.2976794026145032,0.4349604932714137
max_share,0.54375,45701,4384,0.09592787903984595,0.09326172088789986,0.09866196362608387,0.711413974357492,-0.5,reallocate_total_fixed,1,1.0,0.5116530747501966,0.5373838716017114,0.711413974357492
max_share,0.54375,54299,9171,0.1688981380872576,0.16577021366892083,0.17207290944307482,0.4349604932714137,0.5,inflate_only,0,0.5960883257518554,0.3325588160582534,0.2976794026145032,0.4349604932714137
max_share,0.54375,45701,131,0.002866458064374959,0.0024163205947957804,0.0034001660331766923,0.711413974357492,0.5,inflate_only,1,1.0,0.5116530747501966,0.5373838716017114,0.711413974357492
max_share,0.54375,54299,11217,0.206578390025599,0.20319391103499262,0.21000438465051346,0.4349604932714137,0.5,reallocate_total_fixed,0,0.5960883257518554,0.3325588160582534,0.2976794026145032,0.4349604932714137
max_share,0.54375,45701,418,0.009146408174875824,0.008313910547936804,0.010061420611727472,0.711413974357492,0.5,reallocate_total_fixed,1,1.0,0.5116530747501966,0.5373838716017114,0.711413974357492
max_share,0.54375,54299,13868,0.25540065194570805,0.2517500181631722,0.2590858935987641,0.4349604932714137,1.0,inflate_only,0,0.5960883257518554,0.3325588160582534,0.2976794026145032,0.4349604932714137
max_share,0.54375,45701,730,0.015973392267127635,0.014863940793981609,0.017164210901877246,0.711413974357492,1.0,inflate_only,1,1.0,0.5116530747501966,0.5373838716017114,0.711413974357492
max_share,0.54375,54299,16291,0.3000239415090517,0.2961835955592884,0.3038925816697131,0.4349604932714137,1.0,reallocate_total_fixed,0,0.5960883257518554,0.3325588160582534,0.2976794026145032,0.4349604932714137
max_share,0.54375,45701,1564,0.034222445898339206,0.03259439132744032,0.035928799878630936,0.711413974357492,1.0,reallocate_total_fixed,1,1.0,0.5116530747501966,0.5373838716017114,0.711413974357492
max_share,0.54375,54299,19527,0.3596198825024402,0.3555934816096628,0.3636661454961128,0.4349604932714137,2.0,inflate_only,0,0.5960883257518554,0.3325588160582534,0.2976794026145032,0.4349604932714137
max_share,0.54375,45701,2321,0.05078663486575786,0.04881109462088986,0.05283769000152528,0.711413974357492,2.0,inflate_only,1,1.0,0.5116530747501966,0.5373838716017114,0.711413974357492
