shock_type,gamma,bin_id,x_left,x_right,max_share_mid,n,k,pivot_rate,ci_lo,ci_hi
overall,0.5,8,0.44675247968030873,0.45877259595325726,0.452762537816783,6756,1180,0.17465956187092954,0.1657914805641584,0.18389742338885726
overall,0.5,9,0.45877259595325726,0.4708111286199345,0.46479186228659586,6702,1181,0.1762160549089824,0.1672804122071728,0.18552267219613308
overall,0.5,10,0.4708111286199345,0.4828483954709849,0.4768297620454597,6622,1155,0.1744186046511628,0.16546824984080977,0.18374649746012173
overall,0.5,11,0.4828483954709849,0.4950307653086553,0.4889395803898201,6544,1084,0.1656479217603912,0.1568371365653345,0.17485103377769884
overall,0.5,12,0.4950307653086553,0.5074266435783471,0.5012287044435012,6734,1334,0.1980991980991981,0.18875283069145937,0.2077898247488229
overall,0.5,13,0.5074266435783471,0.520074866132104,0.5137507548552256,6554,1088,0.16600549282880683,0.15719330265111744,0.17520899264067483
overall,0.5,14,0.520074866132104,0.5331033970365602,0.5265891315843321,6648,685,0.10303850782190133,0.09595829897737405,0.11057722646267852
overall,0.5,15,0.5331033970365602,0.546589287763298,0.5398463423999291,6670,475,0.0712143928035982,0.06528592682271689,0.0776364943507194
overall,0.5,16,0.546589287763298,0.5606231095765379,0.5536061986699179,6944,316,0.04550691244239631,0.04085109356665088,0.05066532787853579
overall,0.5,17,0.5606231095765379,0.5752977840870855,0.5679604468318118,6738,159,0.023597506678539625,0.020235429728340033,0.027502505852940902
overall,0.5,18,0.5752977840870855,0.5908210634148128,0.5830594237509492,6698,98,0.014631233203941475,0.012021280375371472,0.01779762790798754
overall,0.5,19,0.5908210634148128,0.6071633163996064,0.5989921899072096,6720,53,0.007886904761904762,0.006035085209065925,0.010301052156216446
overall,0.5,20,0.6071633163996064,0.6248862060302598,0.6160247612149331,6514,16,0.002456248081056187,0.0015125080849011337,0.00398649023380609
overall,0.5,21,0.6248862060302598,0.6444423678633692,0.6346642869468144,6598,8,0.0012124886329190664,0.0006145144033655047,0.0023909500112911566
overall,0.5,22,0.6444423678633692,0.6662605712560713,0.6553514695597202,6542,2,0.0003057169061449098,8.384085142070332e-05,0.0011141105319430493
overall,0.5,23,0.6662605712560713,0.6910809904866043,0.6786707808713378,6862,0,0.0,0.0,0.0005595235404207402
overall,0.5,24,0.6910809904866043,0.7198412132871507,0.7054611018868775,6606,0,0.0,0.0,0.0005811939578098211
overall,0.5,25,0.7198412132871507,0.7544648125596409,0.7371530129233959,6720,0,0.0,0.0,0.0005713400506044045
overall,0.5,26,0.7544648125596409,0.7966198845044038,0.7755423485320223,6830,0,0.0,0.0,0.0005621435533419445
overall,0.5,27,0.7966198845044038,0.8450786863315518,0.8208492854179779,6550,0,0.0,0.0,0.0005861600316980502
overall,0.5,28,0.8450786863315518,0.8972190539995119,0.8711488701655319,6644,0,0.0,0.0,0.0005778717711926228
overall,0.5,29,0.8972190539995119,0.9960197461975304,0.9466194000985211,6686,0,0.0,5.421010862427522e-20,0.0005742437907647919
overall,1.0,0,0.16794657833855373,0.32945371423311787,0.2487001462858358,6592,2277,0.34541868932038833,0.3340327612351545,0.3569846822401404
overall,1.0,1,0.32945371423311787,0.3571411768295644,0.3432974455313411,6542,2032,0.3106083766432284,0.2995087867852904,0.3219302654520873
overall,1.0,2,0.3571411768295644,0.3770563532014113,0.3670987650154879,6690,2011,0.3005979073243647,0.2897273872586699,0.31169730136856016
overall,1.0,3,0.3770563532014113,0.3935857571425827,0.385321055171997,6540,2005,0.3065749235474006,0.2955164935127279,0.31786045619827974
overall,1.0,4,0.3935857571425827,0.4081124781324397,0.4008491176375112,6796,1957,0.2879635079458505,0.27731980111231097,0.29884679665079
overall,1.0,5,0.4081124781324397,0.4216009596824666,0.4148567189074531,6576,1735,0.263838199513382,0.25332631108700054,0.2746258511656592
