lambda,variable,state,stat,value
-0.001,kappa_VWAP,lockin,mean,0.6849466088483323
-0.001,kappa_VWAP,lockin,std,0.13138673062005654
-0.001,kappa_VWAP,lockin,min,0.500000315290612
-0.001,kappa_VWAP,lockin,p01,0.5022644112173911
-0.001,kappa_VWAP,lockin,p05,0.5115677865418357
-0.001,kappa_VWAP,lockin,p25,0.5649670488245586
-0.001,kappa_VWAP,lockin,p50,0.6637270212899742
-0.001,kappa_VWAP,lockin,p75,0.8000209003892617
-0.001,kappa_VWAP,lockin,p95,0.905691616833418
-0.001,kappa_VWAP,lockin,p99,0.9463645985250198
-0.001,kappa_VWAP,lockin,max,0.9945077405353068
-0.001,kappa_VWAP,lockin,share_zero,0.0
-0.001,kappa_VWAP,non_lockin,n,467857.0
-0.001,kappa_VWAP,non_lockin,mean,0.4110928256453118
-0.001,kappa_VWAP,non_lockin,std,0.05630735668633893
-0.001,kappa_VWAP,non_lockin,min,0.18588630652722765
-0.001,kappa_VWAP,non_lockin,p01,0.27276985817394567
-0.001,kappa_VWAP,non_lockin,p05,0.3100052002125165
-0.001,kappa_VWAP,non_lockin,p25,0.37173712435619843
-0.001,kappa_VWAP,non_lockin,p50,0.4168213751883517
-0.001,kappa_VWAP,non_lockin,p75,0.4572289096625032
-0.001,kappa_VWAP,non_lockin,p95,0.4910157399279241
-0.001,kappa_VWAP,non_lockin,p99,0.4981586235106104
-0.001,kappa_VWAP,non_lockin,max,0.4999999851619876
-0.001,kappa_VWAP,non_lockin,share_zero,0.0
-0.001,kappa_LWMP,lockin,n,583343.0
-0.001,kappa_LWMP,lockin,mean,1.0000000000000002
-0.001,kappa_LWMP,lockin,std,4.98944890485962e-14
-0.001,kappa_LWMP,lockin,min,0.9999999999998904
-0.001,kappa_LWMP,lockin,p01,0.9999999999999051
-0.001,kappa_LWMP,lockin,p05,0.9999999999999216
-0.001,kappa_LWMP,lockin,p25,0.9999999999999598
-0.001,kappa_LWMP,lockin,p50,1.0000000000000009
-0.001,kappa_LWMP,lockin,p75,1.0000000000000417
-0.001,kappa_LWMP,lockin,p95,1.0000000000000802
-0.001,kappa_LWMP,lockin,p99,1.0000000000000968
-0.001,kappa_LWMP,lockin,max,1.0000000000001117
-0.001,kappa_LWMP,lockin,share_zero,0.0
-0.001,kappa_LWMP,non_lockin,n,467857.0
-0.001,kappa_LWMP,non_lockin,mean,0.27338177896712634
-0.001,kappa_LWMP,non_lockin,std,0.35034980996450593
-0.001,kappa_LWMP,non_lockin,min,-0.0
-0.001,kappa_LWMP,non_lockin,p01,-0.0
-0.001,kappa_LWMP,non_lockin,p05,-0.0
-0.001,kappa_LWMP,non_lockin,p25,0.0
-0.001,kappa_LWMP,non_lockin,p50,0.09253707560489852
-0.001,kappa_LWMP,non_lockin,p75,0.4670012722452831
-0.001,kappa_LWMP,non_lockin,p95,0.9999999999999928
-0.001,kappa_LWMP,non_lockin,p99,1.0000000000000602
-0.001,kappa_LWMP,non_lockin,max,1.0000000000001117
-0.001,kappa_LWMP,non_lockin,share_zero,0.35538423065167346
0.005,delta_VWAP,lockin,n,583343.0
0.005,delta_VWAP,lockin,mean,106.97458040411055
0.005,delta_VWAP,lockin,std,38.511400352881175
0.005,delta_VWAP,lockin,min,39.473510215973874
0.005,delta_VWAP,lockin,p01,52.066077127704304
