lambda,variable,state,quantile,value
-0.005,kappa_VWAP,non_lockin,0.25,0.37173712435619843
-0.005,kappa_VWAP,non_lockin,0.5,0.4168213751883266
-0.005,kappa_VWAP,non_lockin,0.75,0.4572289096625783
-0.005,kappa_VWAP,non_lockin,0.95,0.4910157399279834
-0.005,kappa_VWAP,non_lockin,0.99,0.4981586235105652
-0.005,kappa_LWMP,lockin,0.01,0.9999999999999819
-0.005,kappa_LWMP,lockin,0.05,0.9999999999999851
-0.005,kappa_LWMP,lockin,0.25,0.9999999999999928
-0.005,kappa_LWMP,lockin,0.5,1.0000000000000009
-0.005,kappa_LWMP,lockin,0.75,1.000000000000009
-0.005,kappa_LWMP,lockin,0.95,1.0000000000000167
-0.005,kappa_LWMP,lockin,0.99,1.00000000000002
-0.005,kappa_LWMP,non_lockin,0.01,0.0
-0.005,kappa_LWMP,non_lockin,0.05,0.0
-0.005,kappa_LWMP,non_lockin,0.25,-0.0
-0.005,kappa_LWMP,non_lockin,0.5,0.022856138191688226
-0.005,kappa_LWMP,non_lockin,0.75,0.10796302007864304
-0.005,kappa_LWMP,non_lockin,0.95,0.3436444083819468
-0.005,kappa_LWMP,non_lockin,0.99,0.6242281730818506
0.01,delta_VWAP,lockin,0.01,104.13215425541071
0.01,delta_VWAP,lockin,0.05,121.02811982506137
0.01,delta_VWAP,lockin,0.25,155.7853881759347
0.01,delta_VWAP,lockin,0.5,191.11558776495076
0.01,delta_VWAP,lockin,0.75,261.63678171301945
0.01,delta_VWAP,lockin,0.95,362.8697338780346
0.01,delta_VWAP,lockin,0.99,433.07481420462216
0.01,delta_VWAP,non_lockin,0.01,80.43636020510749
0.01,delta_VWAP,non_lockin,0.05,102.32975066049985
0.01,delta_VWAP,non_lockin,0.25,144.85531101357265
0.01,delta_VWAP,non_lockin,0.5,175.7587400587363
0.01,delta_VWAP,non_lockin,0.75,212.8000621410756
0.01,delta_VWAP,non_lockin,0.95,269.71404292440127
0.01,delta_VWAP,non_lockin,0.99,296.85340380585257
0.01,delta_LWMP,lockin,0.01,163.7285784999993
0.01,delta_LWMP,lockin,0.05,167.03392499999973
0.01,delta_LWMP,lockin,0.25,199.11733749999985
0.01,delta_LWMP,lockin,0.5,304.2094250000009
0.01,delta_LWMP,lockin,0.75,441.2129124999992
0.01,delta_LWMP,lockin,0.95,588.3286825000004
0.01,delta_LWMP,lockin,0.99,633.9130359999994
0.01,delta_LWMP,non_lockin,0.01,0.0
0.01,delta_LWMP,non_lockin,0.05,0.0
0.01,delta_LWMP,non_lockin,0.25,3.0874999999941792
0.01,delta_LWMP,non_lockin,0.5,17.499999999992724
0.01,delta_LWMP,non_lockin,0.75,39.029979895
0.01,delta_LWMP,non_lockin,0.95,99.71400000000541
0.01,delta_LWMP,non_lockin,0.99,164.8911000000045
0.01,kappa_VWAP,lockin,0.01,0.5022644112173148
0.01,kappa_VWAP,lockin,0.05,0.5115677865419402
0.01,kappa_VWAP,lockin,0.25,0.5649670488244061
0.01,kappa_VWAP,lockin,0.5,0.6637270212897518
0.01,kappa_VWAP,lockin,0.75,0.8000209003892462
0.01,kappa_VWAP,lockin,0.95,0.9056916168334764
0.01,kappa_VWAP,lockin,0.99,0.946364598524956
0.01,kappa_VWAP,non_lockin,0.01,0.27276985817385285
0.01,kappa_VWAP,non_lockin,0.05,0.3100052002125556
0.01,kappa_VWAP,non_lockin,0.25,0.3717371243562206
0.01,kappa_VWAP,non_lockin,0.5,0.41682137518830153
0.01,kappa_VWAP,non_lockin,0.75,0.45722890966261587
0.01,kappa_VWAP,non_lockin,0.95,0.4910157399279834
0.01,kappa_VWAP,non_lockin,0.99,0.4981586235105578
0.01,kappa_LWMP,lockin,0.01,0.9999999999999913
0.01,kappa_LWMP,lockin,0.05,0.9999999999999929
0.01,kappa_LWMP,lockin,0.25,0.9999999999999968
0.01,kappa_LWMP,lockin,0.5,1.0000000000000009
0.01,kappa_LWMP,lockin,0.75,1.0000000000000049
0.01,kappa_LWMP,lockin,0.95,1.0000000000000089
0.01,kappa_LWMP,lockin,0.99,1.0000000000000107
0.01,kappa_LWMP,non_lockin,0.01,0.0
0.01,kappa_LWMP,non_lockin,0.05,0.0
0.01,kappa_LWMP,non_lockin,0.25,0.00814673168965149
0.01,kappa_LWMP,non_lockin,0.5,0.04047616822448359
0.01,kappa_LWMP,non_lockin,0.75,0.08720828494614362
0.01,kappa_LWMP,non_lockin,0.95,0.21468940164722805
0.01,kappa_LWMP,non_lockin,0.99,0.3744553457040644
-0.01,delta_VWAP,lockin,0.01,-433.07481420460783
-0.01,delta_VWAP,lockin,0.05,-362.8697338780286
-0.01,delta_VWAP,lockin,0.25,-261.6367817130158
-0.01,delta_VWAP,lockin,0.5,-191.11558776495076
-0.01,delta_VWAP,lockin,0.75,-155.7853881759347
-0.01,delta_VWAP,lockin,0.95,-121.02811982506137
-0.01,delta_VWAP,lockin,0.99,-104.13215425541486
-0.01,delta_VWAP,non_lockin,0.01,-296.85340380587036
-0.01,delta_VWAP,non_lockin,0.05,-269.71404292440275
-0.01,delta_VWAP,non_lockin,0.25,-212.8000621410756
-0.01,delta_VWAP,non_lockin,0.5,-175.75874005874357
-0.01,delta_VWAP,non_lockin,0.75,-144.85531101357628
-0.01,delta_VWAP,non_lockin,0.95,-102.32975066050061
-0.01,delta_VWAP,non_lockin,0.99,-80.43636020510341
-0.01,delta_LWMP,lockin,0.01,-633.9130359999995
-0.01,delta_LWMP,lockin,0.05,-588.3286825000002
-0.01,delta_LWMP,lockin,0.25,-441.2129124999992
-0.01,delta_LWMP,lockin,0.5,-304.2094250000009
-0.01,delta_LWMP,lockin,0.75,-199.11733749999985
-0.01,delta_LWMP,lockin,0.95,-167.03392499999973
-0.01,delta_LWMP,lockin,0.99,-163.72857850000005
-0.01,delta_LWMP,non_lockin,0.01,-116.00749999999971
-0.01,delta_LWMP,non_lockin,0.05,-63.05000000000291
-0.01,delta_LWMP,non_lockin,0.25,-22.400000000001455
-0.01,delta_LWMP,non_lockin,0.5,-5.172500000000582
-0.01,delta_LWMP,non_lockin,0.75,0.0
-0.01,delta_LWMP,non_lockin,0.95,0.0
-0.01,delta_LWMP,non_lockin,0.99,0.0
-0.01,kappa_VWAP,lockin,0.01,0.5022644112173076
-0.01,kappa_VWAP,lockin,0.05,0.511567786541923
-0.01,kappa_VWAP,lockin,0.25,0.5649670488244242
-0.01,kappa_VWAP,lockin,0.5,0.6637270212897703
-0.01,kappa_VWAP,lockin,0.75,0.8000209003892378
-0.01,kappa_VWAP,lockin,0.95,0.9056916168334764
-0.01,kappa_VWAP,lockin,0.99,0.9463645985249421
-0.01,kappa_VWAP,non_lockin,0.01,0.27276985817386445
-0.01,kappa_VWAP,non_lockin,0.05,0.3100052002125359
-0.01,kappa_VWAP,non_lockin,0.25,0.3717371243562206
-0.01,kappa_VWAP,non_lockin,0.5,0.41682137518830153
-0.01,kappa_VWAP,non_lockin,0.75,0.45722890966259705
-0.01,kappa_VWAP,non_lockin,0.95,0.4910157399279834
-0.01,kappa_VWAP,non_lockin,0.99,0.4981586235105578
-0.01,kappa_LWMP,lockin,0.01,0.9999999999999915
-0.01,kappa_LWMP,lockin,0.05,0.999999999999993
-0.01,kappa_LWMP,lockin,0.25,0.9999999999999968
-0.01,kappa_LWMP,lockin,0.5,1.0000000000000009
-0.01,kappa_LWMP,lockin,0.75,1.0000000000000049
-0.01,kappa_LWMP,lockin,0.95,1.0000000000000087
-0.01,kappa_LWMP,lockin,0.99,1.0000000000000104
-0.01,kappa_LWMP,non_lockin,0.01,0.0
-0.01,kappa_LWMP,non_lockin,0.05,0.0
-0.01,kappa_LWMP,non_lockin,0.25,-0.0
-0.01,kappa_LWMP,non_lockin,0.5,0.011468778655701783
-0.01,kappa_LWMP,non_lockin,0.75,0.05412100047577955
-0.01,kappa_LWMP,non_lockin,0.95,0.17236215155145693
-0.01,kappa_LWMP,non_lockin,0.99,0.3169259425032953
