check_id,check_name,status,severity,scenario,value,threshold,message
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_Bitstamp,81824.0,original run diagnostics status,shock_type=reallocate_total_fixed; delta_w=2.0; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: vwap_kappa_equals_max_share,PASS,INFO,EXCL_Bitstamp,4.876099524153688e-13,original run diagnostics status,lambda=-0.001; mean_abs=7.206245211264792e-14
DIAG_002,VWAP kappa equals max_share max absolute error,PASS,INFO,EXCL_Bitstamp,4.876099524153688e-13,<= 1e-8 PASS; <= 1e-6 WARNING,lambda=-0.001; mean_abs=7.206245211264792e-14
ORIG_DIAG_001,Original diagnostics: vwap_kappa_equals_max_share,PASS,INFO,EXCL_Bitstamp,5.412337245047638e-13,original run diagnostics status,lambda=0.001; mean_abs=9.027675096142808e-14
DIAG_002,VWAP kappa equals max_share max absolute error,PASS,INFO,EXCL_Bitstamp,5.412337245047638e-13,<= 1e-8 PASS; <= 1e-6 WARNING,lambda=0.001; mean_abs=9.027675096142808e-14
ORIG_DIAG_001,Original diagnostics: vwap_kappa_equals_max_share,PASS,INFO,EXCL_Bitstamp,4.951594689828198e-14,original run diagnostics status,lambda=-0.01; mean_abs=7.269797925324332e-15
DIAG_002,VWAP kappa equals max_share max absolute error,PASS,INFO,EXCL_Bitstamp,4.951594689828198e-14,<= 1e-8 PASS; <= 1e-6 WARNING,lambda=-0.01; mean_abs=7.269797925324332e-15
ORIG_DIAG_001,Original diagnostics: vwap_kappa_equals_max_share,PASS,INFO,EXCL_Bitstamp,6.0285110237146e-14,original run diagnostics status,lambda=0.01; mean_abs=7.301124100489121e-15
DIAG_002,VWAP kappa equals max_share max absolute error,PASS,INFO,EXCL_Bitstamp,6.0285110237146e-14,<= 1e-8 PASS; <= 1e-6 WARNING,lambda=0.01; mean_abs=7.301124100489121e-15
ORIG_DIAG_001,Original diagnostics: weight_sums_close_to_one,PASS,INFO,EXCL_Coinbase,5.551115123125783e-16,original run diagnostics status,max abs(sum(normalized weights)-1) among valid minutes
DIAG_004,Weight sums close to one,PASS,INFO,EXCL_Coinbase,5.551115123125783e-16,<= 1e-10 PASS; <= 1e-8 WARNING,max abs(sum(normalized weights)-1) among valid minutes
ORIG_DIAG_001,Original diagnostics: valid_minutes,PASS,INFO,EXCL_Coinbase,1051199.0,original run diagnostics status,before_min_venues=1051200; min_venues filtered=1
ORIG_DIAG_001,Original diagnostics: n_exchanges_used,PASS,INFO,EXCL_Coinbase,6.0,original run diagnostics status,"Binance,Bitfinex,BitMEX,Bitstamp,KuCoin,OKX"
