scenario,excluded_exchange,lambda,lock_in,n,vwap_kappa_mean,vwap_kappa_median,vwap_kappa_q05,vwap_kappa_q95,lwmp_kappa_mean,lwmp_kappa_median,lwmp_kappa_q05,lwmp_kappa_q95,lwmp_zero_share,median_max_share,mean_max_share
EXCL_Bitstamp,Bitstamp,-0.01,0,439166,0.41585095390288235,0.4220875066783736,0.3170748900836231,0.491789746694392,0.07685558206105236,0.050267677592261965,0.0,0.24349293326115107,0.21047622083676787,0.4220875066783711,0.415850953902882
EXCL_Bitstamp,Bitstamp,-0.01,1,612034,0.6844866146650419,0.6614274375516469,0.5118736506366174,0.907380880183203,1.0000000000000007,1.0000000000000009,0.999999999999993,1.0000000000000087,0.0,0.6614274375516535,0.6844866146650413
EXCL_Bitstamp,Bitstamp,0.01,0,439166,0.41585095390288235,0.42208750667836503,0.3170748900836329,0.491789746694392,0.03568457587872046,0.010869926902155281,0.0,0.16184942683280185,0.2769545001206833,0.4220875066783711,0.415850953902882
EXCL_Bitstamp,Bitstamp,0.01,1,612034,0.6844866146650419,0.661427437551656,0.5118736506366076,0.907380880183203,1.0000000000000007,1.0000000000000009,0.9999999999999929,1.0000000000000089,0.0,0.6614274375516535,0.6844866146650413
EXCL_Coinbase,Coinbase,-0.001,0,281981,0.43459820653714226,0.44305290250792284,0.34518453615142486,0.4944570785419194,0.4759876151203597,0.43996084132452873,0.0,1.0000000000000389,0.2590635539273923,0.4430529025078071,0.4345982065371422
EXCL_Coinbase,Coinbase,-0.001,1,769218,0.7075948532032825,0.677968920916645,0.5153290277417606,0.9527489509340122,1.0000000000000009,1.0000000000000009,0.9999999999999227,1.000000000000079,0.0,0.6779689209166577,0.707594853203282
EXCL_Coinbase,Coinbase,0.001,0,281981,0.43459820653709447,0.4430529025076043,0.3451845361512079,0.4944570785416385,0.2249052363700537,0.07904091666441564,0.0,0.9999999999998496,0.324387104095666,0.4430529025078071,0.4345982065371422
EXCL_Coinbase,Coinbase,0.001,1,769218,0.7075948532032038,0.6779689209165509,0.5153290277416511,0.9527489509337715,0.9999999999998899,0.9999999999998898,0.9999999999998116,0.999999999999968,0.0,0.6779689209166577,0.707594853203282
EXCL_Coinbase,Coinbase,-0.01,0,281981,0.43459820653714254,0.4430529025078113,0.34518453615138145,0.49445707854180704,0.0758391962997873,0.0481705181015734,0.0,0.24412273270198107,0.23832102162911686,0.4430529025078071,0.4345982065371422
EXCL_Coinbase,Coinbase,-0.01,1,769218,0.7075948532032825,0.677968920916654,0.5153290277416694,0.9527489509338822,1.0000000000000009,1.0000000000000009,0.9999999999999931,1.0000000000000087,0.0,0.6779689209166577,0.707594853203282
EXCL_Coinbase,Coinbase,0.01,0,281981,0.4345982065371426,0.4430529025077954,0.34518453615135974,0.49445707854180704,0.035801241134058324,0.01069773434995844,0.0,0.16411413251511336,0.2472577939648416,0.4430529025078071,0.4345982065371422
EXCL_Coinbase,Coinbase,0.01,1,769218,0.7075948532032825,0.6779689209166633,0.5153290277416723,0.9527489509338822,1.0000000000000009,1.0000000000000009,0.999999999999993,1.0000000000000087,0.0,0.6779689209166577,0.707594853203282
EXCL_KuCoin,KuCoin,-0.001,0,376221,0.4227402908130642,0.42959504855086067,0.32839898520547955,0.4927215266279813,0.4498932115575629,0.4039113336640559,0.0,1.000000000000026,0.25576190590105286,0.42959504855088876,0.42274029081306375
EXCL_KuCoin,KuCoin,-0.001,1,674978,0.6933799616938037,0.6693637732633555,0.5132016765217872,0.9224838325739108,1.0000000000000009,1.0000000000000009,0.9999999999999223,1.0000000000000795,0.0,0.6693637732633733,0.693379961693803
EXCL_KuCoin,KuCoin,0.001,0,376221,0.42274029081301734,0.42959504855086067,0.32839898520532285,0.4927215266279813,0.2480207204055497,0.08488221948345032,0.0,0.9999999999998612,0.36958330343069634,0.42959504855088876,0.42274029081306375
EXCL_KuCoin,KuCoin,0.001,1,674978,0.6933799616937268,0.669363773263296,0.5132016765217448,0.9224838325738883,0.9999999999998898,0.9999999999998898,0.9999999999998112,0.9999999999999685,0.0,0.6693637732633733,0.693379961693803
EXCL_KuCoin,KuCoin,-0.01,0,376221,0.4227402908130642,0.42959504855088276,0.3283989852054482,0.4927215266279583,0.07213869737049605,0.04841127962823886,0.0,0.22691572686094127,0.220899418161134,0.42959504855088876,0.42274029081306375
EXCL_KuCoin,KuCoin,-0.01,1,674978,0.6933799616938038,0.6693637732633766,0.5132016765217441,0.9224838325739502,1.0000000000000009,1.0000000000000009,0.9999999999999931,1.0000000000000087,0.0,0.6693637732633733,0.693379961693803
EXCL_KuCoin,KuCoin,0.01,0,376221,0.4227402908130642,0.42959504855090497,0.3283989852054482,0.4927215266279698,0.04032847152124737,0.012575879771791254,0.0,0.17587807287646537,0.3150462095417321,0.42959504855088876,0.42274029081306375
EXCL_KuCoin,KuCoin,0.01,1,674978,0.6933799616938037,0.6693637732633706,0.51320167652175,0.9224838325739502,1.0000000000000009,1.0000000000000009,0.999999999999993,1.0000000000000087,0.0,0.6693637732633733,0.693379961693803
EXCL_OKX,OKX,-0.001,0,358206,0.42540062425809116,0.4328746166160239,0.33083536006525,0.4932493819464623,0.46828997209199236,0.44174018422893885,0.0,1.0000000000000304,0.25348263289838807,0.4328746166161108,0.42540062425809083
EXCL_OKX,OKX,-0.001,1,692994,0.6874651002340164,0.6651114214837296,0.5133863736325629,0.9100749525078504,1.000000000000001,1.0000000000000009,0.9999999999999223,1.0000000000000795,0.0,0.6651114214836946,0.6874651002340157
EXCL_OKX,OKX,0.001,0,358206,0.42540062425804387,0.4328746166161566,0.3308353600653424,0.493249381946297,0.23374070671224959,0.07501848394879161,0.0,0.9999999999998467,0.3799908432577902,0.4328746166161108,0.42540062425809083
EXCL_OKX,OKX,0.001,1,692994,0.6874651002339403,0.6651114214835994,0.5133863736325629,0.9100749525078504,0.9999999999998898,0.9999999999998898,0.9999999999998113,0.9999999999999685,0.0,0.6651114214836946,0.6874651002340157
EXCL_OKX,OKX,-0.01,0,358206,0.42540062425809116,0.4328746166161064,0.33083536006531467,0.49324938194638834,0.07620767864502125,0.052246386375212936,0.0,0.2391732264999411,0.22495993925283217,0.4328746166161108,0.42540062425809083
