shock_type,gamma,bin_id,x_left,x_right,max_share_mid,n,k,pivot_rate,ci_lo,ci_hi
overall,1.0,24,0.7421642163731287,0.7747344345782126,0.7584493254756706,6532,0,0.0,0.0,0.0005877743426340074
overall,1.0,25,0.7747344345782126,0.804787582394702,0.7897610084864572,6614,0,0.0,0.0,0.0005804913795458627
overall,1.0,26,0.804787582394702,0.8342645593699238,0.8195260708823129,6478,0,0.0,5.421010862427522e-20,0.0005926710705179835
overall,1.0,27,0.8342645593699238,0.863856043269203,0.8490603013195634,6222,0,0.0,0.0,0.0006170410760209511
overall,1.0,28,0.863856043269203,0.8988592642197116,0.8813576537444573,5808,0,0.0,0.0,0.0006609953031066779
overall,1.0,29,0.8988592642197116,0.9945077405352594,0.9466835023774856,5256,0,0.0,0.0,0.0007303641995606864
overall,2.0,0,0.1858863065273828,0.3222084652543739,0.2540473858908784,6908,3496,0.5060799073537927,0.4942896960976501,0.5178633601876674
overall,2.0,1,0.3222084652543739,0.347776059239043,0.3349922622467084,6688,3003,0.44901315789473684,0.4371249405836286,0.4609599154595867
overall,2.0,2,0.347776059239043,0.3661953153403271,0.35698568728968505,6900,3002,0.4350724637681159,0.42341387022272725,0.44680331436621235
overall,2.0,3,0.3661953153403271,0.3816573906802286,0.3739263530102779,6746,2894,0.42899495997628223,0.41722787347693596,0.4408428699905848
overall,2.0,4,0.3816573906802286,0.3954889427061316,0.3885731666931801,6816,2759,0.40478286384976525,0.39318659660844263,0.41648640224830485
overall,2.0,5,0.3954889427061316,0.4084709008909692,0.4019799217985504,6900,2706,0.39217391304347826,0.38071674759817375,0.4037510768084581
overall,2.0,6,0.4084709008909692,0.4208093020292618,0.41464010146011554,6728,2669,0.39670035671819265,0.3850725900330639,0.4084460215753852
overall,2.0,7,0.4208093020292618,0.4329803145640383,0.42689480829665005,6818,2611,0.38295687885010266,0.37148706075913357,0.3945585184873854
overall,2.0,8,0.4329803145640383,0.444920756303171,0.4389505354336046,6722,2594,0.3858970544480809,0.374327775782094,0.3975966775086287
overall,2.0,9,0.444920756303171,0.4570741153301756,0.4509974358166733,6874,2583,0.3757637474541752,0.3643867134164649,0.3872795651439487
overall,2.0,10,0.4570741153301756,0.4693988809207108,0.4632364981254432,6900,2442,0.35391304347826086,0.3427141609587109,0.3652745043664033
overall,2.0,11,0.4693988809207108,0.4820994243151266,0.4757491526179187,6878,2438,0.3544635068333818,0.3432425972284656,0.3658468999782122
overall,2.0,12,0.4820994243151266,0.4952601028829388,0.4886797635990327,6802,2254,0.33137312555130843,0.32028471285364185,0.34265190324391764
overall,2.0,13,0.4952601028829388,0.5089636550657733,0.502111878974356,6844,2518,0.3679135008766803,0.35656540810006226,0.3794097931954818
overall,2.0,14,0.5089636550657733,0.5235824709864912,0.5162730630261323,6912,2335,0.33781828703703703,0.3267608645998825,0.34905588632165396
overall,2.0,15,0.5235824709864912,0.5390943792287936,0.5313384251076424,6702,1903,0.2839450910176067,0.27327571027250813,0.2948620160943061
overall,2.0,16,0.5390943792287936,0.5558800521728245,0.547487215700809,6828,1699,0.2488283538371412,0.23871666157911714,0.2592225178070091
