measure,measure_pretty,delta,quintile,lwmp_exceed_pct,lwmp_ci_low,lwmp_ci_high,vwap_p95_pt,vwap_ci_low,vwap_ci_high,N_lwmp,N_vwap
q_neff,N_eff = 1/HHI,0.1,1,3.1801507039460635,3.0133314903174657,3.3558855435870187,0.4608870970993627,0.45735834083519833,0.46567733356263835,40344,40344
q_neff,N_eff = 1/HHI,0.1,2,5.584559008081923,5.363334787580444,5.814347553053064,0.5111574141662963,0.5066306198043219,0.5157124264328456,39842,39842
q_neff,N_eff = 1/HHI,0.1,3,6.919986110422144,6.6763332681282375,7.171847713764215,0.5392258776273978,0.5353662028229048,0.5437962373662197,40318,40318
q_neff,N_eff = 1/HHI,0.1,4,9.936090982286634,9.645846139975603,10.234080119970043,0.6434797696281319,0.6380483705605603,0.6499020102639398,39744,39744
q_neff,N_eff = 1/HHI,0.1,5,14.189359238938945,13.849715423658695,14.535926940973413,0.8591906138255005,0.855420643885304,0.8623152291743504,39734,39734
q_tophhi,TopHHIShare = max^2/HHI,0.05,1,0.255025502550255,0.21014567178243734,0.30946038585755087,0.38631487393125996,0.3850039590538198,0.3877842893349917,39996,39996
q_tophhi,TopHHIShare = max^2/HHI,0.05,2,1.5262973527498374,1.4106756759538004,1.651236883639631,0.45720928082693146,0.45594552952580497,0.45899347687684716,39966,39966
q_tophhi,TopHHIShare = max^2/HHI,0.05,3,9.413510386801468,9.130386904690466,9.704475627176581,0.5397670615840914,0.5373495902672404,0.5416971029197513,39762,39762
q_tophhi,TopHHIShare = max^2/HHI,0.05,4,14.029776674937967,13.694123429148489,14.372286994616177,0.7693792279242798,0.7631701487967353,0.7756605178542946,40300,40300
q_tophhi,TopHHIShare = max^2/HHI,0.05,5,14.262475599379348,13.923034346420149,14.608787870702095,0.8276501717626381,0.8225333545707957,0.8349191187879281,39958,39958
q_tophhi,TopHHIShare = max^2/HHI,0.1,1,0.2175217521752175,0.17639643035899957,0.26820933027981253,0.3854747985887635,0.38397811603135856,0.3868199022355172,39996,39996
q_tophhi,TopHHIShare = max^2/HHI,0.1,2,1.3611569834359205,1.2521383490174374,1.4795252160440764,0.45565087049815123,0.45445864407404973,0.45776633000001965,39966,39966
q_tophhi,TopHHIShare = max^2/HHI,0.1,3,9.463809667521755,9.179995574986615,9.755455799944173,0.5382483539054956,0.5354864724842308,0.5400468618892632,39762,39762
q_tophhi,TopHHIShare = max^2/HHI,0.1,4,14.260545905707195,13.92255292892818,14.605351964386006,0.7747898791468842,0.7688466253605063,0.7803345596704361,40300,40300
q_tophhi,TopHHIShare = max^2/HHI,0.1,5,14.375093848540969,14.034517103374593,14.722519959702096,0.8328883775346112,0.8262599416624857,0.8384484757967529,39958,39958
q_hhirest,HHI_rest = HHI-max^2,0.05,1,14.277453740949317,13.937092874185772,14.62471416930934,0.841877803919652,0.8360971848352472,0.8461812440408165,39776,39776
q_hhirest,HHI_rest = HHI-max^2,0.05,2,13.67101057290386,13.340554393591528,14.008329219113493,0.6718251364066524,0.6510369567514991,0.7020264447275432,40670,40670
q_hhirest,HHI_rest = HHI-max^2,0.05,3,7.41066935078007,7.157221602980486,7.6723503828337885,0.5253312947149577,0.5232488355326058,0.5279535298439847,39740,39740
q_hhirest,HHI_rest = HHI-max^2,0.05,4,2.170413963080328,2.0317388269502734,2.3183303037380103,0.45485323985138043,0.45258776610217194,0.4568876458300162,39762,39762
q_hhirest,HHI_rest = HHI-max^2,0.05,5,1.9008842483888695,1.7716582314732918,2.0393404113706315,0.4111324662805814,0.40835246447490114,0.41366648706561576,40034,40034
q_hhirest,HHI_rest = HHI-max^2,0.1,1,14.388073209975866,14.04659531529825,14.736429300868148,0.8431959399451466,0.8391978483565519,0.8479152589141601,39776,39776
q_hhirest,HHI_rest = HHI-max^2,0.1,2,13.911974428325546,13.579036695684021,14.25172911031744,0.6748291966143835,0.6518367958754449,0.7098491726369893,40670,40670
q_hhirest,HHI_rest = HHI-max^2,0.1,3,7.4559637644690495,7.201789167783515,7.718362889183219,0.5244396251213591,0.5210340969271283,0.5266573033482707,39740,39740
q_hhirest,HHI_rest = HHI-max^2,0.1,4,2.1226296463960566,1.9855089439753184,2.2690007858024117,0.4530137932497249,0.4508826678590765,0.45511449434906814,39762,39762
q_hhirest,HHI_rest = HHI-max^2,0.1,5,1.7410201328870458,1.6174493048778338,1.8738517846394391,0.40822786939451505,0.40585276549514704,0.4105989122679275,40034,40034
q_hhirestN,HHI_rest_norm,0.05,1,14.392532744517489,14.051340970487175,14.74058839479988,0.8524394100786005,0.8487303833833502,0.8554751603782113,39854,39854
q_hhirestN,HHI_rest_norm,0.05,2,11.67437739935033,11.365773911321032,11.990226570728094,0.586269335362032,0.5840010397616483,0.5888488129974756,40636,40636
q_hhirestN,HHI_rest_norm,0.05,3,3.5256089004710836,3.349089500995513,3.711074818758653,0.47657875298576763,0.4736037445616392,0.4797881493663887,39908,39908
q_hhirestN,HHI_rest_norm,0.05,4,1.745880225080386,1.621795483282195,1.8792774236289993,0.4411274666504239,0.43915923890855874,0.44361957296646004,39808,39808
q_hhirestN,HHI_rest_norm,0.05,5,8.110418342719228,7.846158736022446,8.382768631048817,0.684876700020738,0.6752870173423607,0.6956996082224746,39776,39776
q_hhirestN,HHI_rest_norm,0.1,1,14.382496110804436,14.04140527298246,14.730452759590984,0.852713689223809,0.8503035257347761,0.8569648381265562,39854,39854
q_hhirestN,HHI_rest_norm,0.1,2,11.97214292745349,11.660088748563771,12.291386495375173,0.5860530467881971,0.5838111452256725,0.5887969636286023,40636,40636
q_hhirestN,HHI_rest_norm,0.1,3,3.3877919214192644,3.2147294357007414,3.569827456306969,0.47623315232502034,0.47249242090164556,0.4785521918802342,39908,39908
q_hhirestN,HHI_rest_norm,0.1,4,1.871483118971061,1.7429271001701128,2.0093273546953965,0.4403895121433656,0.43747626891804015,0.4430077217336304,39808,39808
q_hhirestN,HHI_rest_norm,0.1,5,8.022425583266292,7.759505744035098,8.293453099320375,0.6936235599281863,0.683513775301972,0.6988723531311641,39776,39776
