,delta_abs,g,N,LWMP_exceed_pct,LWMP_CI_lo_pct,LWMP_CI_hi_pct,VWAP_p95_PT,VWAP_p95_CI_lo,VWAP_p95_CI_hi,measure_raw,measure_pretty,scheme
93,0.05,10,19998,14.261426142614262,13.78363344805497,14.752946903626249,0.8950790483009619,0.8932145092986894,0.8972111131996853,max_share,max_share,decile
94,0.1,1,20000,0.0,0.0,0.01920431123589781,0.34884284352524375,0.3478634118575632,0.3496057959514131,max_share,max_share,decile
95,0.1,2,19998,0.0,0.0,0.01920623149020438,0.39475142718201717,0.3938078886939723,0.3954947833871703,max_share,max_share,decile
96,0.1,3,19998,0.0,0.0,0.01920623149020438,0.4331748016870623,0.4323520677751399,0.43381500083146796,max_share,max_share,decile
97,0.1,4,19998,0.0,0.0,0.01920623149020438,0.4686438588635879,0.46784559565152667,0.46936696040812864,max_share,max_share,decile
98,0.1,5,19998,7.835783578357836,7.471364725646895,8.21639874509272,0.5083169537257685,0.5074307570594124,0.5090475497422386,max_share,max_share,decile
99,0.1,6,19998,14.486448644864486,14.00544679615403,14.98109212334226,0.5549854340950229,0.5538183507456029,0.5560558236164412,max_share,max_share,decile
100,0.1,7,19998,14.076407640764078,13.601284271918137,14.565330146226243,0.6141357319159838,0.6126732209403446,0.61549373240748,max_share,max_share,decile
101,0.1,8,19998,14.016401640164016,13.542150028505498,14.504475438221528,0.7033389840962808,0.7011412173703848,0.7054869488880887,max_share,max_share,decile
102,0.1,9,19998,14.321432143214322,13.842779697395994,14.81378960570258,0.8027725630769275,0.8009651608287406,0.8040011933953898,max_share,max_share,decile
103,0.1,10,19998,14.696469646964697,14.212508889869687,15.193991359587342,0.8963562500046663,0.8936744137697116,0.8997760308237253,max_share,max_share,decile
104,0.05,1,66662,0.0,0.0,0.005762471316345011,0.4171142503949884,0.41558497357762103,0.41815659927306453,max_share,max_share,extreme_tercile
105,0.05,3,66662,14.280999669976898,14.01745355645208,14.54866237779872,0.8183990241017652,0.8146666873569557,0.8222116786520186,max_share,max_share,extreme_tercile
106,0.1,1,66662,0.0,0.0,0.005762471316345011,0.4155811021726048,0.41421260896937456,0.4174069695627917,max_share,max_share,extreme_tercile
107,0.1,3,66662,14.28249977498425,14.0189419511448,14.550174020234467,0.8220255338416826,0.8182617967844749,0.8245038701983065,max_share,max_share,extreme_tercile
108,0.05,1,20000,0.0,0.0,0.01920431123589781,0.3481541271156514,0.346931286408914,0.3490844279501208,max_share,max_share,extreme_decile
109,0.05,10,20000,14.26,13.782251320620217,14.751475921051203,0.8950639316771393,0.892945914484278,0.897211521582863,max_share,max_share,extreme_decile
110,0.1,1,20000,0.0,0.0,0.01920431123589781,0.34884284352524375,0.3478634118575632,0.3496057959514131,max_share,max_share,extreme_decile
111,0.1,10,20000,14.695,14.211083686628042,15.192476477535624,0.8963447745742261,0.89401966689491,0.8992647610079794,max_share,max_share,extreme_decile
112,0.05,1,99992,4.650372029762381,4.5215852144967155,4.782643292541522,0.4922967711732612,0.48987864110306906,0.4948515361256616,neff,N_eff = 1/HHI (negated for concentration),median
113,0.05,2,99990,11.15911591159116,10.965442425820672,11.355773803959622,0.7605649690696348,0.7556869767010361,0.7655947847518333,neff,N_eff = 1/HHI (negated for concentration),median
114,0.1,1,99992,4.811384910792863,4.680464047517542,4.945777850125529,0.4962410848201364,0.493757707895638,0.49859093855073444,neff,N_eff = 1/HHI (negated for concentration),median
115,0.1,2,99990,11.075107510751076,10.88208129883155,11.27112458419955,0.7647778929404155,0.7605410497393266,0.7700261656237938,neff,N_eff = 1/HHI (negated for concentration),median
116,0.05,1,66662,3.8597701839128735,3.7161744242609602,4.008683578581683,0.47511444130032293,0.4721906610208974,0.4782351645260852,neff,N_eff = 1/HHI (negated for concentration),tercile
117,0.05,2,66660,6.957695769576958,6.767015049946093,7.1533372389024965,0.5413664585042783,0.5380724529424784,0.5451366148418825,neff,N_eff = 1/HHI (negated for concentration),tercile
118,0.05,3,66660,12.896789678967895,12.644488543102126,13.153367066827196,0.8161430159856108,0.8129761196495163,0.8205125439400343,neff,N_eff = 1/HHI (negated for concentration),tercile
119,0.1,1,66662,4.045783204824337,3.898840194205841,4.19802241256578,0.47977572094847437,0.47685439308384986,0.48283516474878907,neff,N_eff = 1/HHI (negated for concentration),tercile
120,0.1,2,66660,6.93969396939694,6.749245621172596,7.135105142075347,0.5402438421299055,0.5374842344219368,0.5439259355136951,neff,N_eff = 1/HHI (negated for concentration),tercile
121,0.1,3,66660,12.844284428442846,12.592428205384026,13.10042295487674,0.8198507954170793,0.8164400185482538,0.8233463902393036,neff,N_eff = 1/HHI (negated for concentration),tercile
122,0.05,1,49996,3.4202736218897507,3.264501472260202,3.5832034212689003,0.4655000747995045,0.46208572070975096,0.46913486776143026,neff,N_eff = 1/HHI (negated for concentration),quartile
