,delta_abs,g_low,g_high,N_low,N_high,dLWMP_exceed_Qhi_Qlo,dVWAP_p95PT_Qhi_Qlo,spearman_g_vs_exceed,spearman_g_vs_pt,measure_raw,measure_pretty,scheme
69,0.1,1,10,20000,20000,-12.055000000000001,-0.45870587101018917,-0.21755994078744678,0.22632168059596142,hhi_rest,HHI_rest = HHI-max^2,extreme_decile
70,0.05,1,2,99992,99990,-6.898462768110558,-0.204056550900087,-0.12783818985536546,0.07296087324243458,hhi_rest_norm,HHI_rest_norm,median
71,0.1,1,2,99992,99990,-7.059476489292261,-0.2048423840921919,-0.13053183479616676,0.07030756703893447,hhi_rest_norm,HHI_rest_norm,median
72,0.05,1,3,66662,66660,-8.46192658328567,-0.2701877242367118,-0.12803752581895056,0.08458612182846426,hhi_rest_norm,HHI_rest_norm,tercile
73,0.1,1,3,66662,66660,-8.575935238959078,-0.27247913039225713,-0.12947475732228395,0.07988920594413076,hhi_rest_norm,HHI_rest_norm,tercile
74,0.05,1,4,49996,49994,-7.438323033198739,-0.2104646191560262,-0.11881729819160514,0.08554143485396348,hhi_rest_norm,HHI_rest_norm,quartile
75,0.1,1,4,49996,49994,-7.638341594990917,-0.20183329440101205,-0.12153917206895182,0.08222280016624306,hhi_rest_norm,HHI_rest_norm,quartile
76,0.05,1,5,39998,39996,-6.299911205181221,-0.1694384263754507,-0.11854208045687956,0.08620441015679849,hhi_rest_norm,HHI_rest_norm,quintile
77,0.1,1,5,39998,39996,-6.399920831125065,-0.16020671638444894,-0.12012279655553065,0.0834328711619684,hhi_rest_norm,HHI_rest_norm,quintile
78,0.05,1,10,20000,19998,-1.3686953695369528,-0.1316520142776535,-0.11431807781109331,0.0862459988430167,hhi_rest_norm,HHI_rest_norm,decile
79,0.1,1,10,20000,19998,-1.5037058705870585,-0.13156943716874359,-0.11634677068371052,0.0835404262415988,hhi_rest_norm,HHI_rest_norm,decile
80,0.05,1,3,66662,66662,-8.462092346464251,-0.27020021318182097,-0.14259491291116919,0.10016795439818367,hhi_rest_norm,HHI_rest_norm,extreme_tercile
81,0.1,1,3,66662,66662,-8.576100327022893,-0.27248376320549883,-0.14428878029217518,0.09507811512284167,hhi_rest_norm,HHI_rest_norm,extreme_tercile
82,0.05,1,10,20000,20000,-1.3699999999999974,-0.1316631987880954,-0.019903314423926722,0.10502357197882622,hhi_rest_norm,HHI_rest_norm,extreme_decile
83,0.1,1,10,20000,20000,-1.5050000000000008,-0.1315834943952494,-0.021889752995138706,0.10633787718620354,hhi_rest_norm,HHI_rest_norm,extreme_decile
