delta_abs,measure_raw,measure_pretty,scheme,g_low,g_high,N_low,N_high,RD_exceed,RD_exceed_pct,RD_wald_lo,RD_wald_hi,RD_newcombe_lo,RD_newcombe_hi,RD_bayes_lo,RD_bayes_hi,RD_cluster_lo,RD_cluster_hi,p_ztest,p_ztest_sci,p_ztest_log10,p_perm_exceed,dP95,dP95_iid_lo,dP95_iid_hi,dP95_cluster_lo,dP95_cluster_hi,p_perm_p95
0.05,top_hhi_share,TopHHIShare = max^2/HHI,quintile,1,5,39998,39996,0.14008913642001733,14.008913642001733,0.13662640260598785,0.1435518702340468,0.13615185214499462,0.14399951704446667,0.13663045335847798,0.1435017466010445,0.13710387835518545,0.1427076175773222,1e-300,<1e-300,-1267.8705960933512,0.0024937655860349127,0.44130586823595114,0.4354660168403562,0.4483372924655062,0.4276761717050104,0.4518874560310976,0.0024937655860349127
0.1,top_hhi_share,TopHHIShare = max^2/HHI,quintile,1,5,39998,39996,0.14153926268170594,14.153926268170594,0.13807106851310907,0.1450074568503028,0.13762861416793093,0.14542272900715375,0.13811786814312946,0.14495859234245984,0.13894420538445093,0.1440745413742256,1e-300,<1e-300,-1288.501962393211,0.0024937655860349127,0.4474417780068746,0.441370781531065,0.45316780920806926,0.43397892966285617,0.4577263382430582,0.0024937655860349127
0.05,top_hhi_share,TopHHIShare = max^2/HHI,extreme_decile,1,10,20000,20000,0.1434,14.34,0.13851559269740943,0.14828440730259057,0.13810042091689886,0.1486445011184766,0.13853581156316286,0.14819580046438768,0.13999890648993032,0.1469143615341754,1e-300,<1e-300,-665.8907910960484,0.0024937655860349127,0.426504992930029,0.4152533340794671,0.4349705887377111,0.4128888346747053,0.4382904830080451,0.0024937655860349127
0.1,top_hhi_share,TopHHIShare = max^2/HHI,extreme_decile,1,10,20000,20000,0.1423,14.23,0.1374293437045507,0.14717065629544931,0.13700369893074538,0.1475416455994773,0.13749217401434438,0.1471249448608429,0.13843235634210074,0.14602685248046202,1e-300,<1e-300,-659.9264699916192,0.0024937655860349127,0.4307627077674761,0.42153263871871677,0.440939819972432,0.4173208771801009,0.44523917557578224,0.0024937655860349127
0.05,hhi_rest,HHI_rest = HHI-max^2,quintile,1,5,39998,39996,-0.12368023391668632,-12.368023391668633,-0.12735977506344398,-0.12000069276992865,-0.12843478884878207,-0.11890191895964741,-0.12731564176352078,-0.12000781494744821,-0.1271537032161369,-0.12032714901773493,1e-300,<1e-300,-895.8641432971494,0.0024937655860349127,-0.4304969077747147,-0.4352471357757019,-0.42419628354323574,-0.43935386918641794,-0.4172806783372054,0.0024937655860349127
0.1,hhi_rest,HHI_rest = HHI-max^2,quintile,1,5,39998,39996,-0.1265304564358131,-12.65304564358131,-0.13020150177408576,-0.12285941109754042,-0.13124071519225972,-0.12179589019351894,-0.13023760004152954,-0.1229178289752802,-0.1298869897765574,-0.1230916590906848,1e-300,<1e-300,-939.4033362983433,0.0024937655860349127,-0.43499648007128316,-0.44014960620464294,-0.4298814844965403,-0.4432361435320101,-0.4251158345665467,0.0024937655860349127
0.05,hhi_rest,HHI_rest = HHI-max^2,extreme_decile,1,10,20000,20000,-0.1174,-11.74,-0.12270313080340284,-0.11209686919659717,-0.12438342334618455,-0.11037148493103359,-0.12261585696176014,-0.11212391052311448,-0.12160864338319695,-0.11280124488624568,1e-300,<1e-300,-392.17368524881886,0.0024937655860349127,-0.4495731693378034,-0.4580649119325785,-0.4404122595415846,-0.4629188977331329,-0.43642350146456055,0.0024937655860349127
0.1,hhi_rest,HHI_rest = HHI-max^2,extreme_decile,1,10,20000,20000,-0.12055000000000002,-12.055000000000001,-0.12585011231086665,-0.11524988768913338,-0.12749468892802251,-0.11355900947758776,-0.12583009549556118,-0.11531444140371931,-0.12529052568682308,-0.11587664984165173,1e-300,<1e-300,-412.86027384109923,0.0024937655860349127,-0.45870587101018917,-0.46535575381723154,-0.44919812408964743,-0.468207149203646,-0.44479350292938513,0.0024937655860349127
0.05,hhi_rest_norm,HHI_rest_norm,quintile,1,5,39998,39996,-0.06299911205181222,-6.299911205181222,-0.06735257216394777,-0.05864565193967666,-0.06910186426713705,-0.0568842554979129,-0.06735879666282851,-0.05864982838540699,-0.06820662806180276,-0.05769435950346015,3.1841189781563834e-175,3.184e-175,-174.49701071273356,0.0024937655860349127,-0.1694384263754507,-0.1780063704731439,-0.15800691771693065,-0.18721508417952862,-0.14886862304930937,0.0024937655860349127
0.1,hhi_rest_norm,HHI_rest_norm,quintile,1,5,39998,39996,-0.06399920831125064,-6.399920831125064,-0.06834468428821897,-0.05965373233428231,-0.07008861155621324,-0.05789750862918361,-0.06837063521900509,-0.059746904364836054,-0.06936874760554017,-0.059398954934865085,2.3348064021613266e-181,2.335e-181,-180.63174912450205,0.0024937655860349127,-0.16020671638444894,-0.17034202974381454,-0.15262646881188355,-0.1787380457353281,-0.1461105888451522,0.0024937655860349127
0.05,hhi_rest_norm,HHI_rest_norm,extreme_decile,1,10,20000,20000,-0.01369999999999999,-1.369999999999999,-0.020444273918369556,-0.006955726081630423,-0.023233215246641903,-0.004161522772079429,-0.020496554375013222,-0.0069410398147495235,-0.019369597311591644,-0.008694689089153763,6.872335445181452e-05,6.872e-05,-4.16289565033575,0.0024937655860349127,-0.1316631987880954,-0.13807259469409816,-0.12657611008179337,-0.14070656005225285,-0.12357181104375413,0.0024937655860349127
0.1,hhi_rest_norm,HHI_rest_norm,extreme_decile,1,10,20000,20000,-0.015050000000000008,-1.5050000000000008,-0.02178624138425874,-0.008313758615741275,-0.024571152012696093,-0.005523067489621891,-0.0216716699946907,-0.008362146379407985,-0.020562438218496473,-0.009858767037839061,1.1980049530644465e-05,1.198e-05,-4.9215413863840105,0.0024937655860349127,-0.1315834943952494,-0.13734358036989655,-0.1266853430557873,-0.14157069877797968,-0.1234544458617547,0.0024937655860349127
