shock_type,delta_w,weight_factor,exchange_shocked,N,pivot_change_rate,median_abs_shift_lwmp,median_abs_shift_vwap,mean_abs_shift_lwmp,mean_abs_shift_vwap,median_pivot_margin_before,median_pivot_margin_after,median_pivot_margin_delta,median_share_shocked_before,median_share_shocked_after,median_share_shocked_delta
inflate_only,1.0,2.0,BitMEX,16525,0.30269288956127083,0.0,9.681761847986298e-05,0.00019305707897590563,0.0001261607188964179,174685.51432590943,260990.89150648375,74250.0,0.2896456259444776,0.4491863813089807,0.14110716893436115
inflate_only,1.0,2.0,Bitfinex,16525,0.10995461422087746,0.0,1.0523579492198865e-05,5.1366359880612184e-05,3.396870211970069e-05,173068.20061333792,177533.0597520155,-610.7404298917972,0.0299509974043046,0.0581600434968024,0.028204908662494997
inflate_only,1.0,2.0,Bitstamp,16400,0.07548780487804878,0.0,3.738630669394537e-06,2.93632273279702e-05,1.4454948749239045e-05,172577.6297308083,176244.36321998763,392.7931594755282,0.01577218857030295,0.031054578443093152,0.0152823898727902
inflate_only,1.0,2.0,Coinbase,16984,0.27755534620819594,0.0,4.797286461721766e-05,0.00014089261708129962,6.991787733443282e-05,169140.71941106714,269500.88773510215,87465.54597198611,0.25727676386615383,0.4092603489141057,0.14318518204235364
inflate_only,1.0,2.0,KuCoin,16718,0.2240100490489293,0.0,4.049045311572235e-05,0.0001131760523213265,6.420910807350152e-05,169648.86266253918,193521.38752859156,-14078.347153684022,0.10724798251259454,0.1937198968586309,0.08626929562013415
inflate_only,1.0,2.0,OKX,16848,0.21058879392212726,0.0,3.778955869340394e-05,0.00010019428133091243,5.9158668802936845e-05,170572.62809701342,191840.31366581598,-6695.373749569902,0.09706394919471681,0.17695221735080574,0.07944818933204109
inflate_only,2.0,3.0,BitMEX,16525,0.4171860816944024,0.0,0.0001574501114372,0.00030309647402940203,0.00020255568580078429,174685.51432590943,363044.2605951495,148261.5465908954,0.2896456259444776,0.5502068581676222,0.22520632962406406
inflate_only,2.0,3.0,Bitfinex,16525,0.1896520423600605,0.0,2.0280302866786045e-05,9.783746576125918e-05,6.077331815039887e-05,173068.20061333792,182210.6477291012,-680.5714617052145,0.0299509974043046,0.0847748118722421,0.054763450100088804
inflate_only,2.0,3.0,Bitstamp,16400,0.13390243902439025,0.0,7.312605406861636e-06,5.6064126016677844e-05,2.6588038287664282e-05,172577.6297308083,178964.84818938118,773.5306291593297,0.01577218857030295,0.045869636509307546,0.0300974479390046
inflate_only,2.0,3.0,Coinbase,16984,0.38324305228450306,0.0,7.927468445691587e-05,0.00021675725282558866,0.00011436061194673875,169140.71941106714,387866.51880411187,191644.17898057963,0.25727676386615383,0.5096091198356135,0.23399717006164894
inflate_only,2.0,3.0,KuCoin,16718,0.36661083861705945,0.0,7.363129086490355e-05,0.0002021869119172851,0.00011132281553076965,169648.86266253918,241397.21427142288,-2363.6543907177347,0.10724798251259454,0.26491973350579695,0.15711383930388276
inflate_only,2.0,3.0,OKX,16848,0.33499525166191835,0.0,6.839933475328817e-05,0.00017972658742394082,0.00010314756748096382,170572.62809701342,222826.16800339526,-5180.337981891993,0.09706394919471681,0.24385314836650085,0.1447271537549441
reallocate_total_fixed,-0.5,0.5,BitMEX,16525,0.3895310136157337,0.0,0.000102079672603,0.0002449618820406183,0.00016255890607080772,174685.51432590943,171821.45400510012,-10677.260246191872,0.2896456259444776,0.1448228129722388,-0.1448228129722388
reallocate_total_fixed,-0.5,0.5,Bitfinex,16525,0.07370650529500757,0.0,5.7274488385580345e-06,3.618112706991159e-05,2.575404835427595e-05,173068.20061333792,179867.7834041724,802.5624449166935,0.0299509974043046,0.0149754987021523,-0.0149754987021523
reallocate_total_fixed,-0.5,0.5,Bitstamp,16400,0.04439024390243902,0.0,1.9639827567265653e-06,1.816247390269872e-05,9.29940984873744e-06,172577.6297308083,176665.44658812205,-4.667207309859805,0.01577218857030295,0.00788609428515145,-0.0078860942851515
reallocate_total_fixed,-0.5,0.5,Coinbase,16984,0.3432642487046632,0.0,4.5080448011981594e-05,0.0001833986653299735,7.79276833268594e-05,169140.71941106714,164848.70393562637,-2854.4232467734546,0.25727676386615383,0.12863838193307692,-0.12863838193307692
reallocate_total_fixed,-0.5,0.5,KuCoin,16718,0.14894126091637755,0.0,2.5779734148693032e-05,6.946607118466953e-05,5.1588347349080754e-05,169648.86266253918,190589.94703328214,21073.723802587832,0.10724798251259454,0.05362399125629725,-0.0536239912562973
